상담연월,대면상담(외부상담센터),온라인상담(채팅),온라인상담(화상),전화상담,합계
2024-08,1,0,0,3,3
2024-09,8,1,1,1,11
2024-10,8,0,1,1,10
2024-11,6,0,1,2,9
2024-12,2,0,1,1,4
2025-01,0,0,1,1,2
2025-02,0,0,0,0,0
2025-03,2,0,0,3,4
2025-04,2,0,0,0,2
누계,29,1,5,12,45
실계,12,1,1,10,22
